Recipe_index,Ingredient, unit, measure
0,Beef,1.5,pounds
0,Bacon,6,strips
0,"Kidney Beans, Drained",1,can
0,"Pinto Beans, Drained",1,can
0,"Black Beans,Drained",1,can
0,Fire Roasted Diced Tomatoes With Juice,1,can
0,Tomato Paste,6,ounces
0,"Red Onion, Chopped",1,large
0,"Red Bell Pepper, Deseeded & Chopped",1,unit
0,Jalapeno,1,unit
0,Beef Stock,1.5,cups
0,Oregano,1,tablespoon
0,Cumin,2,teaspoon
0,Salt,2,teaspoon
0,Black Pepper,1,teaspoon
0,Smoked Paprika,1,teaspoon
0,Chili Powder,2,tablespoon
0,Worcestershire Sauce,1,tablespoon
0,Minced Garlic,1,tablespoon
1,Boneless Chicken Thighs,1,pounds
1,Canned Tomatoes 14oz,1,can
1,Garlic,5,cloves
1,Minced Ginger,2,teaspoon
1,Turmeric,1,teaspoon
1,Cayenne Pepper,0.5,teaspoon
1,Smoked Paprika,1,teaspoon
1,Salt,1,teaspoon
1,Garam Masala,2,teaspoon
1,Ground Cumin,1,teaspoon
1,Butter,4,ounces
1,Heavy Cream,4,ounces
1,Cilantro,0.5,cups
